행정구역,2022-1,2022-2,2022-3,2022-4
1,내당1동,"8,338","8,315","8,271","8,210"
2,내당2.3동,"9,677","9,650","9,600","9,535"
3,내당4동,"16,501","16,449","16,376","16,308"
4,비산1동,"9,651","9,599","9,547","9,518"
5,비산2.3동,"9,183","9,155","9,134","9,095"
6,비산4동,"9,654","9,650","9,630","9,589"
7,비산5동,"5,999","5,986","5,971","5,944"
8,비산6동,"7,576","7,553","7,525","7,512"
9,비산7동,"9,914","9,856","9,834","9,787"
10,평리1동,"7,767","7,748","7,726","7,688"
11,평리2동,"7,969","7,939","7,904","7,869"
12,평리3동,"9,847","9,839","9,803","9,779"
13,평리4동,"17,880","17,844","17,840","17,761"
14,평리5동,"1,673","1,669","1,696","1,686"
15,평리6동,"3,753","3,645","3,592","3,548"
16,상중이동,"19,940","19,899","19,850","19,761"
17,원대동,"7,516","7,506","7,467","7,454"
