행정구역,2022-1,2022-2,2022-3,2022-4
1,범어1동,"16,635","16,563","16,477","16,435"
2,범어2동,"15,439","15,356","15,303","15,227"
3,범어3동,"16,069","16,543","16,662","16,716"
4,범어4동,"19,893","19,839","19,802","19,826"
5,만촌1동,"22,696","22,641","22,533","22,458"
6,만촌2동,"10,921","10,886","10,851","10,816"
7,만촌3동,"19,582","19,472","19,419","19,351"
8,수성1가동,"17,886","17,841","17,715","17,625"
9,수성2.3가동,"11,815","11,801","11,757","11,739"
10,수성4가동,"14,467","14,343","14,260","14,169"
11,황금1동,"23,678","23,574","23,535","23,415"
12,황금2동,"10,665","10,570","10,564","11,165"
13,중동,"11,383","11,869","12,050","12,196"
14,상동,"16,138","16,107","16,043","15,962"
15,파동,"12,433","12,396","12,315","12,281"
16,두산동,"14,036","14,034","14,034","14,025"
17,지산1동,"21,695","21,651","21,558","21,517"
18,지산2동,"18,550","18,521","18,447","18,352"
19,범물1동,"11,241","11,222","11,200","11,205"
20,범물2동,"17,100","17,041","16,990","16,932"
21,고산1동,"30,649","30,611","30,901","31,014"
22,고산2동,"28,659","28,680","28,565","28,518"
23,고산3동,"33,164","33,029","32,947","32,839"
