"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 달서구 (2729000000)","602,360","209,688","          2.87","602,830","210,065","          2.87","603,196","210,198","          2.87"
"대구광역시 달서구 성당1동(2729051000)","9,046","3,966","          2.28","9,018","3,951","          2.28","9,037","3,954","          2.29"
"대구광역시 달서구 성당2동(2729052000)","18,362","6,564","          2.80","18,281","6,547","          2.79","18,131","6,495","          2.79"
"대구광역시 달서구 두류1동(2729053000)","6,875","2,835","          2.43","6,852","2,837","          2.42","6,822","2,821","          2.42"
"대구광역시 달서구 두류2동(2729054000)","11,933","5,141","          2.32","11,914","5,149","          2.31","11,846","5,134","          2.31"
"대구광역시 달서구 두류3동(2729055000)","11,265","4,238","          2.66","11,248","4,236","          2.66","11,260","4,235","          2.66"
"대구광역시 달서구 감삼동(2729055500)","26,398","9,167","          2.88","26,495","9,222","          2.87","26,473","9,228","          2.87"
"대구광역시 달서구 죽전동(2729056300)","17,326","6,509","          2.66","17,278","6,498","          2.66","17,296","6,529","          2.65"
"대구광역시 달서구 장기동(2729056800)","19,071","6,540","          2.92","19,040","6,525","          2.92","19,064","6,521","          2.92"
"대구광역시 달서구 용산1동(2729057100)","35,995","11,590","          3.11","36,031","11,623","          3.10","36,008","11,631","          3.10"
"대구광역시 달서구 용산2동(2729057200)","35,330","11,241","          3.14","35,331","11,244","          3.14","35,305","11,227","          3.14"
"대구광역시 달서구 이곡1동(2729057600)","28,114","8,937","          3.15","28,073","8,945","          3.14","28,041","8,935","          3.14"
"대구광역시 달서구 이곡2동(2729057700)","20,420","6,645","          3.07","20,383","6,641","          3.07","20,319","6,636","          3.06"
"대구광역시 달서구 신당동(2729058500)","39,644","15,732","          2.52","39,533","15,723","          2.51","39,453","15,690","          2.51"
"대구광역시 달서구 본리동(2729059000)","23,806","8,395","          2.84","23,889","8,429","          2.83","23,814","8,412","          2.83"
"대구광역시 달서구 월성1동(2729060100)","34,033","10,036","          3.39","34,653","10,215","          3.39","35,528","10,444","          3.40"
"대구광역시 달서구 월성2동(2729060200)","21,748","8,550","          2.54","21,675","8,553","          2.53","21,621","8,543","          2.53"
"대구광역시 달서구 진천동(2729061500)","52,779","17,104","          3.09","52,775","17,117","          3.08","52,740","17,092","          3.09"
"대구광역시 달서구 상인1동(2729062400)","43,801","13,465","          3.25","43,916","13,500","          3.25","44,066","13,533","          3.26"
"대구광역시 달서구 상인2동(2729062500)","23,988","8,537","          2.81","24,069","8,571","          2.81","24,212","8,613","          2.81"
"대구광역시 달서구 상인3동(2729062600)","16,173","6,342","          2.55","16,139","6,342","          2.54","16,080","6,337","          2.54"
"대구광역시 달서구 도원동(2729062800)","43,067","13,290","          3.24","43,067","13,292","          3.24","42,982","13,275","          3.24"
"대구광역시 달서구 송현1동(2729063000)","23,509","9,606","          2.45","23,553","9,638","          2.44","23,523","9,627","          2.44"
"대구광역시 달서구 송현2동(2729064000)","23,341","9,133","          2.56","23,299","9,151","          2.55","23,276","9,162","          2.54"
"대구광역시 달서구 본동(2729065000)","16,336","6,125","          2.67","16,318","6,116","          2.67","16,299","6,124","          2.66"
