"행정구역","2010년10월_거주자 인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_거주자 인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_거주자 인구수","2010년12월_세대수","2010년12월_세대당 인구"
"대구광역시 중구 (2711000000)","76,340","33,907","          2.25","76,207","33,918","          2.25","76,105","33,912","          2.24"
"대구광역시 중구 동인1.2.4가동(2711051500)","6,091","2,938","          2.07","6,083","2,936","          2.07","6,120","2,939","          2.08"
"대구광역시 중구 동인3가동(2711052000)","4,649","2,171","          2.14","4,658","2,185","          2.13","4,652","2,184","          2.13"
"대구광역시 중구 삼덕동(2711054500)","4,523","2,368","          1.91","4,513","2,364","          1.91","4,505","2,357","          1.91"
"대구광역시 중구 성내1동(2711056500)","4,525","2,247","          2.01","4,512","2,246","          2.01","4,501","2,240","          2.01"
"대구광역시 중구 성내2동(2711057500)","5,097","2,571","          1.98","5,075","2,573","          1.97","5,088","2,582","          1.97"
"대구광역시 중구 성내3동(2711058500)","4,181","2,073","          2.02","4,177","2,077","          2.01","4,171","2,079","          2.01"
"대구광역시 중구 대신동(2711059500)","5,374","2,176","          2.47","5,358","2,170","          2.47","5,324","2,164","          2.46"
"대구광역시 중구 남산1동(2711064000)","4,287","2,098","          2.04","4,306","2,107","          2.04","4,279","2,097","          2.04"
"대구광역시 중구 남산2동(2711065000)","5,061","2,261","          2.24","5,025","2,253","          2.23","4,993","2,234","          2.24"
"대구광역시 중구 남산3동(2711066000)","5,535","2,193","          2.52","5,507","2,188","          2.52","5,508","2,202","          2.50"
"대구광역시 중구 남산4동(2711067000)","14,956","5,685","          2.63","14,935","5,682","          2.63","14,933","5,683","          2.63"
"대구광역시 중구 대봉1동(2711068000)","7,760","3,215","          2.41","7,758","3,225","          2.41","7,705","3,222","          2.39"
"대구광역시 중구 대봉2동(2711069000)","4,301","1,911","          2.25","4,300","1,912","          2.25","4,326","1,929","          2.24"
