"행정구역","2014년01월_거주자 인구수","2014년01월_세대수","2014년01월_세대당 인구","2014년02월_거주자 인구수","2014년02월_세대수","2014년02월_세대당 인구","2014년03월_거주자 인구수","2014년03월_세대수","2014년03월_세대당 인구","2014년04월_거주자 인구수","2014년04월_세대수","2014년04월_세대당 인구","2014년05월_거주자 인구수","2014년05월_세대수","2014년05월_세대당 인구","2014년06월_거주자 인구수","2014년06월_세대수","2014년06월_세대당 인구","2014년07월_거주자 인구수","2014년07월_세대수","2014년07월_세대당 인구","2014년08월_거주자 인구수","2014년08월_세대수","2014년08월_세대당 인구","2014년09월_거주자 인구수","2014년09월_세대수","2014년09월_세대당 인구","2014년10월_거주자 인구수","2014년10월_세대수","2014년10월_세대당 인구","2014년11월_거주자 인구수","2014년11월_세대수","2014년11월_세대당 인구","2014년12월_거주자 인구수","2014년12월_세대수","2014년12월_세대당 인구"
"대구광역시 중구 (2711000000)","74,522","34,335","          2.17","74,504","34,402","          2.17","74,407","34,456","          2.16","74,432","34,473","          2.16","75,158","34,795","          2.16","75,804","35,077","          2.16","76,137","35,232","          2.16","76,727","35,453","          2.16","76,916","35,566","          2.16","77,166","35,705","          2.16","77,239","35,763","          2.16","77,350","35,858","          2.16"
"대구광역시 중구 동인동(2711051700)","10,293","5,125","          2.01","10,285","5,129","          2.01","10,258","5,119","          2.00","10,275","5,140","          2.00","10,258","5,132","          2.00","10,256","5,146","          1.99","10,282","5,157","          1.99","10,264","5,149","          1.99","10,254","5,166","          1.98","10,232","5,171","          1.98","10,236","5,180","          1.98","10,217","5,185","          1.97"
"대구광역시 중구 삼덕동(2711054500)","6,429","3,298","          1.95","6,493","3,340","          1.94","6,517","3,356","          1.94","6,532","3,368","          1.94","6,558","3,380","          1.94","6,565","3,378","          1.94","6,594","3,388","          1.95","6,578","3,383","          1.94","6,592","3,393","          1.94","6,597","3,396","          1.94","6,576","3,393","          1.94","6,623","3,420","          1.94"
"대구광역시 중구 성내1동(2711056500)","4,519","2,434","          1.86","4,500","2,440","          1.84","4,529","2,470","          1.83","4,555","2,480","          1.84","4,562","2,493","          1.83","4,576","2,506","          1.83","4,583","2,522","          1.82","4,594","2,553","          1.80","4,587","2,567","          1.79","4,605","2,592","          1.78","4,576","2,589","          1.77","4,612","2,614","          1.76"
"대구광역시 중구 성내2동(2711057500)","5,028","2,657","          1.89","5,035","2,668","          1.89","5,025","2,679","          1.88","4,991","2,655","          1.88","4,977","2,661","          1.87","4,961","2,664","          1.86","4,962","2,658","          1.87","4,939","2,639","          1.87","4,907","2,630","          1.87","4,899","2,619","          1.87","4,922","2,639","          1.87","4,910","2,643","          1.86"
"대구광역시 중구 성내3동(2711058500)","3,718","1,931","          1.93","3,720","1,935","          1.92","3,699","1,930","          1.92","3,711","1,939","          1.91","3,693","1,946","          1.90","3,702","1,944","          1.90","3,693","1,942","          1.90","3,671","1,929","          1.90","3,666","1,928","          1.90","3,658","1,926","          1.90","3,649","1,928","          1.89","3,645","1,935","          1.88"
"대구광역시 중구 대신동(2711059500)","4,803","1,997","          2.41","4,765","1,982","          2.40","4,756","1,983","          2.40","4,765","1,989","          2.40","4,767","1,991","          2.39","4,768","1,997","          2.39","4,764","1,999","          2.38","4,734","1,985","          2.38","4,684","1,964","          2.38","4,680","1,970","          2.38","4,689","1,968","          2.38","4,672","1,957","          2.39"
"대구광역시 중구 남산1동(2711064000)","4,036","2,072","          1.95","4,036","2,070","          1.95","3,987","2,053","          1.94","3,995","2,047","          1.95","3,978","2,043","          1.95","3,955","2,037","          1.94","3,980","2,047","          1.94","4,566","2,252","          2.03","4,879","2,375","          2.05","5,066","2,435","          2.08","5,152","2,469","          2.09","5,160","2,476","          2.08"
"대구광역시 중구 남산2동(2711065000)","4,722","2,172","          2.17","4,723","2,178","          2.17","4,718","2,191","          2.15","4,733","2,207","          2.14","4,730","2,214","          2.14","4,769","2,228","          2.14","4,772","2,238","          2.13","4,754","2,223","          2.14","4,707","2,198","          2.14","4,712","2,199","          2.14","4,708","2,200","          2.14","4,719","2,219","          2.13"
"대구광역시 중구 남산3동(2711066000)","5,154","2,087","          2.47","5,137","2,083","          2.47","5,106","2,079","          2.46","5,108","2,088","          2.45","5,934","2,387","          2.49","6,679","2,654","          2.52","7,027","2,785","          2.52","7,199","2,860","          2.52","7,249","2,883","          2.51","7,340","2,934","          2.50","7,385","2,949","          2.50","7,446","2,965","          2.51"
"대구광역시 중구 남산4동(2711067000)","14,273","5,537","          2.58","14,277","5,548","          2.57","14,271","5,552","          2.57","14,196","5,519","          2.57","14,131","5,510","          2.56","14,054","5,493","          2.56","13,990","5,474","          2.56","13,945","5,459","          2.55","13,962","5,460","          2.56","13,940","5,454","          2.56","13,930","5,448","          2.56","13,941","5,450","          2.56"
"대구광역시 중구 대봉1동(2711068000)","7,526","3,134","          2.40","7,537","3,142","          2.40","7,562","3,162","          2.39","7,576","3,160","          2.40","7,567","3,146","          2.41","7,551","3,145","          2.40","7,547","3,144","          2.40","7,530","3,142","          2.40","7,487","3,129","          2.39","7,510","3,137","          2.39","7,506","3,136","          2.39","7,524","3,145","          2.39"
"대구광역시 중구 대봉2동(2711069000)","4,021","1,891","          2.13","3,996","1,887","          2.12","3,979","1,882","          2.11","3,995","1,881","          2.12","4,003","1,892","          2.12","3,968","1,885","          2.11","3,943","1,878","          2.10","3,953","1,879","          2.10","3,942","1,873","          2.10","3,927","1,872","          2.10","3,910","1,864","          2.10","3,881","1,849","          2.10"
