"행정구역","2021년01월_거주자 인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년02월_거주자 인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년03월_거주자 인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년04월_거주자 인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년05월_거주자 인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년06월_거주자 인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년07월_거주자 인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년08월_거주자 인구수","2021년08월_세대수","2021년08월_세대당 인구","2021년09월_거주자 인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년10월_거주자 인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년11월_거주자 인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년12월_거주자 인구수","2021년12월_세대수","2021년12월_세대당 인구"
"대구광역시 북구 (2723000000)","437,428","185,569","          2.36","436,746","185,923","          2.35","435,908","186,298","          2.34","435,798","186,661","          2.33","435,780","187,004","          2.33","435,657","187,301","          2.33","435,414","187,513","          2.32","435,164","187,793","          2.32","435,490","188,395","          2.31","434,856","188,435","          2.31","434,928","188,913","          2.30","435,371","189,576","          2.30"
"대구광역시 북구 고성동(2723051000)","4,883","2,227","          2.19","4,889","2,228","          2.19","4,883","2,227","          2.19","4,877","2,223","          2.19","4,859","2,217","          2.19","4,855","2,214","          2.19","4,858","2,221","          2.19","4,851","2,221","          2.18","4,870","2,226","          2.19","4,865","2,225","          2.19","4,852","2,226","          2.18","4,833","2,222","          2.18"
"대구광역시 북구 칠성동(2723052600)","23,319","10,161","          2.29","23,279","10,182","          2.29","23,238","10,183","          2.28","23,226","10,203","          2.28","23,256","10,229","          2.27","23,270","10,248","          2.27","23,229","10,235","          2.27","23,239","10,253","          2.27","23,258","10,281","          2.26","23,165","10,270","          2.26","23,239","10,308","          2.25","23,368","10,365","          2.25"
"대구광역시 북구 침산1동(2723055000)","4,172","2,059","          2.03","4,169","2,056","          2.03","4,155","2,053","          2.02","4,157","2,056","          2.02","4,141","2,053","          2.02","4,139","2,053","          2.02","4,131","2,054","          2.01","4,130","2,057","          2.01","4,124","2,059","          2.00","4,116","2,058","          2.00","4,095","2,045","          2.00","4,073","2,034","          2.00"
"대구광역시 북구 침산2동(2723056000)","19,305","7,059","          2.73","19,250","7,060","          2.73","19,233","7,062","          2.72","19,201","7,059","          2.72","19,147","7,062","          2.71","19,123","7,060","          2.71","19,111","7,057","          2.71","19,082","7,056","          2.70","19,078","7,060","          2.70","19,003","7,043","          2.70","18,929","7,030","          2.69","18,771","6,975","          2.69"
"대구광역시 북구 침산3동(2723057000)","20,244","7,532","          2.69","20,213","7,539","          2.68","20,165","7,546","          2.67","20,129","7,540","          2.67","20,109","7,544","          2.67","20,123","7,556","          2.66","20,088","7,553","          2.66","20,098","7,562","          2.66","20,058","7,559","          2.65","20,027","7,555","          2.65","19,972","7,544","          2.65","19,866","7,518","          2.64"
"대구광역시 북구 산격1동(2723061000)","9,451","5,217","          1.81","9,408","5,214","          1.80","9,337","5,202","          1.79","9,318","5,210","          1.79","9,296","5,208","          1.78","9,273","5,209","          1.78","9,274","5,210","          1.78","9,253","5,212","          1.78","9,212","5,204","          1.77","9,194","5,208","          1.77","9,171","5,206","          1.76","9,137","5,200","          1.76"
"대구광역시 북구 산격2동(2723062000)","11,030","4,640","          2.38","10,984","4,635","          2.37","10,963","4,643","          2.36","10,925","4,626","          2.36","10,910","4,642","          2.35","10,916","4,653","          2.35","10,928","4,667","          2.34","10,907","4,667","          2.34","10,909","4,677","          2.33","10,913","4,684","          2.33","10,884","4,707","          2.31","10,799","4,701","          2.30"
"대구광역시 북구 산격3동(2723063000)","9,044","5,678","          1.59","9,050","5,704","          1.59","9,027","5,724","          1.58","8,981","5,718","          1.57","9,011","5,751","          1.57","9,016","5,770","          1.56","8,993","5,763","          1.56","8,962","5,759","          1.56","9,054","5,835","          1.55","9,043","5,835","          1.55","9,012","5,820","          1.55","8,925","5,759","          1.55"
"대구광역시 북구 산격4동(2723063100)","8,542","4,379","          1.95","8,539","4,413","          1.93","8,522","4,424","          1.93","8,485","4,417","          1.92","8,475","4,415","          1.92","8,488","4,441","          1.91","8,461","4,443","          1.90","8,437","4,446","          1.90","8,476","4,470","          1.90","8,435","4,454","          1.89","8,369","4,441","          1.88","8,358","4,446","          1.88"
"대구광역시 북구 대현동(2723064500)","18,228","9,044","          2.02","18,208","9,079","          2.01","18,169","9,074","          2.00","18,063","9,048","          2.00","17,997","9,032","          1.99","17,939","9,043","          1.98","17,914","9,041","          1.98","17,897","9,047","          1.98","17,911","9,081","          1.97","17,813","9,046","          1.97","17,709","8,997","          1.97","17,606","8,937","          1.97"
"대구광역시 북구 복현1동(2723067100)","7,593","4,759","          1.60","7,595","4,777","          1.59","7,606","4,808","          1.58","7,611","4,810","          1.58","7,628","4,826","          1.58","7,611","4,832","          1.58","7,593","4,845","          1.57","7,594","4,857","          1.56","7,649","4,913","          1.56","7,624","4,909","          1.55","7,589","4,893","          1.55","7,486","4,833","          1.55"
"대구광역시 북구 복현2동(2723067200)","28,699","10,975","          2.61","28,738","11,031","          2.61","28,829","11,172","          2.58","29,434","11,451","          2.57","29,777","11,620","          2.56","29,932","11,698","          2.56","29,985","11,744","          2.55","29,989","11,781","          2.55","30,010","11,829","          2.54","30,004","11,846","          2.53","30,100","11,914","          2.53","30,517","12,108","          2.52"
"대구광역시 북구 검단동(2723068000)","6,692","3,157","          2.12","6,666","3,165","          2.11","6,603","3,156","          2.09","6,564","3,162","          2.08","6,575","3,168","          2.08","6,563","3,172","          2.07","6,535","3,172","          2.06","6,518","3,176","          2.05","6,503","3,176","          2.05","6,496","3,179","          2.04","6,470","3,183","          2.03","6,442","3,191","          2.02"
"대구광역시 북구 무태조야동(2723069500)","36,674","15,012","          2.44","36,661","15,050","          2.44","36,607","15,054","          2.43","36,575","15,041","          2.43","36,607","15,068","          2.43","36,612","15,095","          2.43","36,643","15,124","          2.42","36,630","15,139","          2.42","36,637","15,177","          2.41","36,617","15,193","          2.41","36,435","15,160","          2.40","36,356","15,184","          2.39"
"대구광역시 북구 관문동(2723071500)","37,222","14,794","          2.52","37,172","14,789","          2.51","37,094","14,800","          2.51","37,050","14,805","          2.50","36,973","14,796","          2.50","36,922","14,763","          2.50","36,970","14,797","          2.50","36,986","14,833","          2.49","36,961","14,829","          2.49","36,898","14,812","          2.49","36,665","14,738","          2.49","36,477","14,683","          2.48"
"대구광역시 북구 태전1동(2723072500)","22,199","9,887","          2.25","22,189","9,942","          2.23","22,245","10,064","          2.21","22,269","10,102","          2.20","22,306","10,138","          2.20","22,280","10,166","          2.19","22,322","10,217","          2.18","22,288","10,227","          2.18","22,308","10,295","          2.17","22,297","10,315","          2.16","22,189","10,313","          2.15","22,008","10,264","          2.14"
"대구광역시 북구 태전2동(2723073500)","24,965","10,620","          2.35","24,937","10,638","          2.34","24,881","10,667","          2.33","24,825","10,681","          2.32","24,806","10,692","          2.32","24,802","10,732","          2.31","24,733","10,736","          2.30","24,751","10,767","          2.30","24,736","10,800","          2.29","24,739","10,826","          2.29","24,585","10,791","          2.28","24,369","10,758","          2.27"
"대구광역시 북구 구암동(2723074500)","36,357","13,501","          2.69","36,275","13,495","          2.69","36,147","13,496","          2.68","36,053","13,498","          2.67","36,074","13,533","          2.67","36,036","13,544","          2.66","35,965","13,542","          2.66","35,922","13,549","          2.65","35,860","13,558","          2.64","35,800","13,569","          2.64","35,461","13,504","          2.63","34,984","13,414","          2.61"
"대구광역시 북구 관음동(2723075000)","16,999","7,444","          2.28","16,962","7,467","          2.27","16,928","7,462","          2.27","16,875","7,466","          2.26","16,819","7,454","          2.26","16,824","7,463","          2.25","16,785","7,476","          2.25","16,764","7,482","          2.24","16,745","7,494","          2.23","16,738","7,501","          2.23","16,592","7,477","          2.22","16,413","7,437","          2.21"
"대구광역시 북구 읍내동(2723077000)","26,850","11,223","          2.39","26,756","11,251","          2.38","26,671","11,245","          2.37","26,669","11,277","          2.36","26,621","11,302","          2.36","26,622","11,335","          2.35","26,639","11,356","          2.35","26,665","11,401","          2.34","27,021","11,560","          2.34","27,072","11,578","          2.34","26,890","11,586","          2.32","26,787","11,635","          2.30"
