"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 서구 (2717000000)","162,838","81,083","          2.01","162,302","80,986","          2.00","161,766","80,871","          2.00","161,044","80,628","          2.00"
"대구광역시 서구 내당1동(2717051000)","8,338","4,149","          2.01","8,315","4,171","          1.99","8,271","4,147","          1.99","8,210","4,129","          1.99"
"대구광역시 서구 내당2.3동(2717052500)","9,677","4,988","          1.94","9,650","4,988","          1.93","9,600","4,968","          1.93","9,535","4,954","          1.92"
"대구광역시 서구 내당4동(2717054000)","16,501","8,033","          2.05","16,449","8,021","          2.05","16,376","8,034","          2.04","16,308","8,018","          2.03"
"대구광역시 서구 비산1동(2717055000)","9,651","4,901","          1.97","9,599","4,895","          1.96","9,547","4,880","          1.96","9,518","4,863","          1.96"
"대구광역시 서구 비산2.3동(2717056500)","9,183","5,039","          1.82","9,155","5,029","          1.82","9,134","5,031","          1.82","9,095","5,019","          1.81"
"대구광역시 서구 비산4동(2717058000)","9,654","4,657","          2.07","9,650","4,660","          2.07","9,630","4,664","          2.06","9,589","4,653","          2.06"
"대구광역시 서구 비산5동(2717059000)","5,999","3,346","          1.79","5,986","3,340","          1.79","5,971","3,337","          1.79","5,944","3,324","          1.79"
"대구광역시 서구 비산6동(2717060000)","7,576","3,775","          2.01","7,553","3,763","          2.01","7,525","3,755","          2.00","7,512","3,750","          2.00"
"대구광역시 서구 비산7동(2717061000)","9,914","5,553","          1.79","9,856","5,533","          1.78","9,834","5,523","          1.78","9,787","5,496","          1.78"
"대구광역시 서구 평리1동(2717062000)","7,767","3,967","          1.96","7,748","3,963","          1.96","7,726","3,954","          1.95","7,688","3,938","          1.95"
"대구광역시 서구 평리2동(2717063000)","7,969","3,604","          2.21","7,939","3,600","          2.21","7,904","3,589","          2.20","7,869","3,581","          2.20"
"대구광역시 서구 평리3동(2717064000)","9,847","5,064","          1.94","9,839","5,061","          1.94","9,803","5,034","          1.95","9,779","5,021","          1.95"
"대구광역시 서구 평리4동(2717065000)","17,880","8,429","          2.12","17,844","8,433","          2.12","17,840","8,431","          2.12","17,761","8,398","          2.11"
"대구광역시 서구 평리5동(2717066000)","1,673","866","          1.93","1,669","867","          1.93","1,696","904","          1.88","1,686","900","          1.87"
"대구광역시 서구 평리6동(2717066100)","3,753","1,923","          1.95","3,645","1,871","          1.95","3,592","1,846","          1.95","3,548","1,832","          1.94"
"대구광역시 서구 상중이동(2717067500)","19,940","8,817","          2.26","19,899","8,820","          2.26","19,850","8,809","          2.25","19,761","8,797","          2.25"
"대구광역시 서구 원대동(2717069500)","7,516","3,972","          1.89","7,506","3,971","          1.89","7,467","3,965","          1.88","7,454","3,955","          1.88"
