"행정구역","2022년01월_거주자 인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_거주자 인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_거주자 인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_거주자 인구수","2022년04월_세대수","2022년04월_세대당 인구"
"대구광역시 중구 (2711000000)","73,793","37,556","          1.96","73,713","37,624","          1.96","74,709","38,128","          1.96","76,849","39,054","          1.97"
"대구광역시 중구 동인동(2711051700)","7,894","4,715","          1.67","7,839","4,691","          1.67","7,843","4,700","          1.67","7,821","4,695","          1.67"
"대구광역시 중구 삼덕동(2711054500)","6,485","4,031","          1.61","6,482","4,052","          1.60","6,465","4,055","          1.59","6,466","4,085","          1.58"
"대구광역시 중구 성내1동(2711056500)","4,862","3,332","          1.46","4,900","3,388","          1.45","4,894","3,411","          1.43","4,858","3,400","          1.43"
"대구광역시 중구 성내2동(2711057500)","4,266","2,716","          1.57","4,322","2,765","          1.56","4,343","2,791","          1.56","4,334","2,786","          1.56"
"대구광역시 중구 성내3동(2711058500)","4,696","2,252","          2.09","4,647","2,229","          2.08","4,645","2,227","          2.09","4,621","2,210","          2.09"
"대구광역시 중구 대신동(2711059500)","7,780","3,250","          2.39","7,768","3,251","          2.39","7,744","3,240","          2.39","7,700","3,235","          2.38"
"대구광역시 중구 남산1동(2711064000)","4,728","2,679","          1.76","4,701","2,668","          1.76","4,679","2,666","          1.76","4,629","2,632","          1.76"
"대구광역시 중구 남산2동(2711065000)","6,477","2,953","          2.19","6,569","2,990","          2.20","6,590","3,007","          2.19","6,598","3,008","          2.19"
"대구광역시 중구 남산3동(2711066000)","6,623","2,880","          2.30","6,597","2,878","          2.29","6,600","2,885","          2.29","6,574","2,883","          2.28"
"대구광역시 중구 남산4동(2711067000)","11,370","4,789","          2.37","11,337","4,783","          2.37","11,407","4,829","          2.36","12,788","5,361","          2.39"
"대구광역시 중구 대봉1동(2711068000)","6,806","3,025","          2.25","6,773","3,013","          2.25","6,747","3,010","          2.24","6,678","2,988","          2.23"
"대구광역시 중구 대봉2동(2711069000)","1,806","934","          1.93","1,778","916","          1.94","2,752","1,307","          2.11","3,782","1,771","          2.14"
