 format: day,hour,value location:89_89 Start : 20150101 
 1, 0000, 301.000000 
 1, 0100, 291.000000 
 1, 0200, 281.000000 
 1, 0300, 277.000000 
 1, 0400, 290.000000 
 1, 0500, 307.000000 
 1, 0600, 300.000000 
 1, 0700, 288.000000 
 1, 0800, 313.000000 
 1, 0900, 315.000000 
 1, 1000, 336.000000 
 1, 1100, 339.000000 
 1, 1200, 333.000000 
 1, 1300, 300.000000 
 1, 1400, 307.000000 
 1, 1500, 302.000000 
 1, 1600, 308.000000 
 1, 1700, 279.000000 
 1, 1800, 277.000000 
 1, 1900, 292.000000 
 1, 2000, 299.000000 
 1, 2100, 276.000000 
 1, 2200, 63.000000 
 1, 2300, 270.000000 
 2, 0000, 256.000000 
 2, 0100, 285.000000 
 2, 0200, 260.000000 
 2, 0300, 268.000000 
 2, 0400, 303.000000 
 2, 0500, 355.000000 
 2, 0600, 279.000000 
 2, 0700, 290.000000 
 2, 0800, 293.000000 
 2, 0900, 278.000000 
 2, 1000, 321.000000 
 2, 1100, 307.000000 
 2, 1200, 312.000000 
 2, 1300, 322.000000 
 2, 1400, 313.000000 
 2, 1500, 280.000000 
 2, 1600, 228.000000 
 2, 1700, 217.000000 
 2, 1800, 253.000000 
 2, 1900, 290.000000 
 2, 2000, 270.000000 
 2, 2100, 278.000000 
 2, 2200, 344.000000 
 2, 2300, 171.000000 
 3, 0000, 274.000000 
 3, 0100, 293.000000 
 3, 0200, 308.000000 
 3, 0300, 272.000000 
 3, 0400, 297.000000 
 3, 0500, 314.000000 
 3, 0600, 326.000000 
 3, 0700, 293.000000 
 3, 0800, 315.000000 
 3, 0900, 313.000000 
 3, 1000, 306.000000 
 3, 1100, 288.000000 
 3, 1200, 238.000000 
 3, 1300, 233.000000 
 3, 1400, 256.000000 
 3, 1500, 313.000000 
 3, 1600, 300.000000 
 3, 1700, 299.000000 
 3, 1800, 297.000000 
 3, 1900, 247.000000 
 3, 2000, 253.000000 
 3, 2100, 346.000000 
 3, 2200, 352.000000 
 3, 2300, 343.000000 
 4, 0000, 284.000000 
 4, 0100, 270.000000 
 4, 0200, 245.000000 
 4, 0300, 279.000000 
 4, 0400, 305.000000 
 4, 0500, 342.000000 
 4, 0600, 297.000000 
 4, 0700, 326.000000 
 4, 0800, 308.000000 
 4, 0900, 294.000000 
 4, 1000, 302.000000 
 4, 1100, 270.000000 
 4, 1200, 304.000000 
 4, 1300, 10.000000 
 4, 1400, 315.000000 
 4, 1500, 315.000000 
 4, 1600, 347.000000 
 4, 1700, 353.000000 
 4, 1800, 124.000000 
 4, 1900, 270.000000 
 4, 2000, 342.000000 
 4, 2100, 9.000000 
 4, 2200, 27.000000 
 4, 2300, 82.000000 
 5, 0000, 69.000000 
 5, 0100, 120.000000 
 5, 0200, 177.000000 
 5, 0300, 174.000000 
 5, 0400, 207.000000 
 5, 0500, 163.000000 
 5, 0600, 184.000000 
 5, 0700, 176.000000 
 5, 0800, 165.000000 
 5, 0900, 214.000000 
 5, 1000, 198.000000 
 5, 1100, 185.000000 
 5, 1200, 210.000000 
 5, 1300, 221.000000 
 5, 1400, 206.000000 
 5, 1500, 203.000000 
 5, 1600, 265.000000 
 5, 1700, 270.000000 
 5, 1800, 202.000000 
 5, 1900, 312.000000 
 5, 2000, 313.000000 
 5, 2100, 306.000000 
 5, 2200, 275.000000 
 5, 2300, 338.000000 
 6, 0000, 310.000000 
 6, 0100, 319.000000 
 6, 0200, 332.000000 
 6, 0300, 306.000000 
 6, 0400, 318.000000 
 6, 0500, 334.000000 
 6, 0600, 317.000000 
 6, 0700, 322.000000 
 6, 0800, 308.000000 
 6, 0900, 303.000000 
 6, 1000, 299.000000 
 6, 1100, 310.000000 
 6, 1200, 315.000000 
 6, 1300, 285.000000 
 6, 1400, 305.000000 
 6, 1500, 343.000000 
 6, 1600, 325.000000 
 6, 1700, 325.000000 
 6, 1800, 323.000000 
 6, 1900, 341.000000 
 6, 2000, 336.000000 
 6, 2100, 325.000000 
 6, 2200, 342.000000 
 6, 2300, 301.000000 
 7, 0000, 156.000000 
 7, 0100, 326.000000 
 7, 0200, 336.000000 
 7, 0300, 344.000000 
 7, 0400, 359.000000 
 7, 0500, 344.000000 
 7, 0600, 355.000000 
 7, 0700, 349.000000 
 7, 0800, 344.000000 
 7, 0900, 6.000000 
 7, 1000, 14.000000 
 7, 1100, 323.000000 
 7, 1200, 333.000000 
 7, 1300, 330.000000 
 7, 1400, 333.000000 
 7, 1500, 325.000000 
 7, 1600, 327.000000 
 7, 1700, 315.000000 
 7, 1800, 312.000000 
 7, 1900, 323.000000 
 7, 2000, 315.000000 
 7, 2100, 14.000000 
 7, 2200, 324.000000 
 7, 2300, 278.000000 
 8, 0000, 11.000000 
 8, 0100, 297.000000 
 8, 0200, 309.000000 
 8, 0300, 310.000000 
 8, 0400, 320.000000 
 8, 0500, 342.000000 
 8, 0600, 338.000000 
 8, 0700, 333.000000 
 8, 0800, 319.000000 
 8, 0900, 320.000000 
 8, 1000, 299.000000 
 8, 1100, 289.000000 
 8, 1200, 300.000000 
 8, 1300, 298.000000 
 8, 1400, 294.000000 
 8, 1500, 281.000000 
 8, 1600, 298.000000 
 8, 1700, 292.000000 
 8, 1800, 309.000000 
 8, 1900, 315.000000 
 8, 2000, 308.000000 
 8, 2100, 318.000000 
 8, 2200, 300.000000 
 8, 2300, 274.000000 
 9, 0000, 268.000000 
 9, 0100, 280.000000 
 9, 0200, 264.000000 
 9, 0300, 299.000000 
 9, 0400, 299.000000 
 9, 0500, 329.000000 
 9, 0600, 316.000000 
 9, 0700, 297.000000 
 9, 0800, 307.000000 
 9, 0900, 297.000000 
 9, 1000, 302.000000 
 9, 1100, 284.000000 
 9, 1200, 289.000000 
 9, 1300, 292.000000 
