 format: day,hour,value location:86_90 Start : 20160101 
 1, 0000, 173.000000 
 1, 0100, 201.000000 
 1, 0200, 202.000000 
 1, 0300, 306.000000 
 1, 0400, 311.000000 
 1, 0500, 202.000000 
 1, 0600, 225.000000 
 1, 0700, 225.000000 
 1, 0800, 281.000000 
 1, 0900, 319.000000 
 1, 1000, 270.000000 
 1, 1100, 259.000000 
 1, 1200, 270.000000 
 1, 1300, 253.000000 
 1, 1400, 246.000000 
 1, 1500, 261.000000 
 1, 1600, 251.000000 
 1, 1700, 284.000000 
 1, 1800, 225.000000 
 1, 1900, 243.000000 
 1, 2000, 252.000000 
 1, 2100, 220.000000 
 1, 2200, 9.000000 
 1, 2300, 349.000000 
 2, 0000, 333.000000 
 2, 0100, 38.000000 
 2, 0200, 22.000000 
 2, 0300, 187.000000 
 2, 0400, 214.000000 
 2, 0500, 201.000000 
 2, 0600, 202.000000 
 2, 0700, 259.000000 
 2, 0800, 153.000000 
 2, 0900, 360.000000 
 2, 1000, 304.000000 
 2, 1100, 315.000000 
 2, 1200, 297.000000 
 2, 1300, 315.000000 
 2, 1400, 306.000000 
 2, 1500, 342.000000 
 2, 1600, 288.000000 
 2, 1700, 256.000000 
 2, 1800, 270.000000 
 2, 1900, 315.000000 
 2, 2000, 323.000000 
 2, 2100, 360.000000 
 2, 2200, 225.000000 
 2, 2300, 338.000000 
 3, 0000, 360.000000 
 3, 0100, 50.000000 
 3, 0200, 90.000000 
 3, 0300, 68.000000 
 3, 0400, 225.000000 
 3, 0500, 157.000000 
 3, 0600, 131.000000 
 3, 0700, 252.000000 
 3, 0800, 288.000000 
 3, 0900, 219.000000 
 3, 1000, 333.000000 
 3, 1100, 333.000000 
 3, 1200, 330.000000 
 3, 1300, 326.000000 
 3, 1400, 326.000000 
 3, 1500, 270.000000 
 3, 1600, 233.000000 
 3, 1700, 231.000000 
 3, 1800, 247.000000 
 3, 1900, 243.000000 
 3, 2000, 236.000000 
 3, 2100, 207.000000 
 3, 2200, 135.000000 
 3, 2300, 238.000000 
 4, 0000, 248.000000 
 4, 0100, 189.000000 
 4, 0200, 3.000000 
 4, 0300, 329.000000 
 4, 0400, 4.000000 
 4, 0500, 339.000000 
 4, 0600, 358.000000 
 4, 0700, 355.000000 
 4, 0800, 350.000000 
 4, 0900, 351.000000 
 4, 1000, 13.000000 
 4, 1100, 342.000000 
 4, 1200, 288.000000 
 4, 1300, 63.000000 
 4, 1400, 264.000000 
 4, 1500, 63.000000 
 4, 1600, 45.000000 
 4, 1700, 298.000000 
 4, 1800, 305.000000 
 4, 1900, 307.000000 
 4, 2000, 325.000000 
 4, 2100, 309.000000 
 4, 2200, 344.000000 
 4, 2300, 321.000000 
 5, 0000, 326.000000 
 5, 0100, 326.000000 
 5, 0200, 336.000000 
 5, 0300, 264.000000 
 5, 0400, 318.000000 
 5, 0500, 135.000000 
 5, 0600, 2.000000 
 5, 0700, 336.000000 
 5, 0800, 342.000000 
 5, 0900, 313.000000 
 5, 1000, 315.000000 
 5, 1100, 309.000000 
 5, 1200, 72.000000 
 5, 1300, 323.000000 
 5, 1400, 330.000000 
 5, 1500, 307.000000 
 5, 1600, 326.000000 
 5, 1700, 318.000000 
 5, 1800, 322.000000 
 5, 1900, 315.000000 
 5, 2000, 279.000000 
 5, 2100, 27.000000 
 5, 2200, 297.000000 
 5, 2300, 328.000000 
 6, 0000, 207.000000 
 6, 0100, 337.000000 
 6, 0200, 1.000000 
 6, 0300, 350.000000 
 6, 0400, 357.000000 
 6, 0500, 1.000000 
 6, 0600, 350.000000 
 6, 0700, 312.000000 
 6, 0800, 335.000000 
 6, 0900, 339.000000 
 6, 1000, 357.000000 
 6, 1100, 342.000000 
 6, 1200, 6.000000 
 6, 1300, 343.000000 
 6, 1400, 333.000000 
 6, 1500, 211.000000 
 6, 1600, 297.000000 
 6, 1700, 333.000000 
 6, 1800, 342.000000 
 6, 1900, 333.000000 
 6, 2000, 322.000000 
 6, 2100, 330.000000 
 6, 2200, 328.000000 
 6, 2300, 333.000000 
 7, 0000, 9.000000 
 7, 0100, 339.000000 
 7, 0200, 358.000000 
 7, 0300, 356.000000 
 7, 0400, 288.000000 
 7, 0500, 335.000000 
 7, 0600, 350.000000 
 7, 0700, 2.000000 
 7, 0800, 348.000000 
 7, 0900, 331.000000 
 7, 1000, 323.000000 
 7, 1100, 337.000000 
 7, 1200, 9.000000 
 7, 1300, 356.000000 
 7, 1400, 335.000000 
 7, 1500, 342.000000 
 7, 1600, 344.000000 
 7, 1700, 360.000000 
 7, 1800, 29.000000 
 7, 1900, 30.000000 
 7, 2000, 63.000000 
 7, 2100, 360.000000 
 7, 2200, 337.000000 
 7, 2300, 307.000000 
 8, 0000, 356.000000 
 8, 0100, 328.000000 
 8, 0200, 3.000000 
 8, 0300, 310.000000 
 8, 0400, 302.000000 
 8, 0500, 339.000000 
 8, 0600, 291.000000 
 8, 0700, 344.000000 
 8, 0800, 334.000000 
 8, 0900, 343.000000 
 8, 1000, 325.000000 
 8, 1100, 331.000000 
 8, 1200, 333.000000 
 8, 1300, 49.000000 
 8, 1400, 331.000000 
 8, 1500, 9.000000 
 8, 1600, 56.000000 
 8, 1700, 297.000000 
 8, 1800, 39.000000 
 8, 1900, 39.000000 
 8, 2000, 117.000000 
 8, 2100, 153.000000 
 8, 2200, 76.000000 
 8, 2300, 169.000000 
 9, 0000, 188.000000 
 9, 0100, 190.000000 
 9, 0200, 180.000000 
 9, 0300, 180.000000 
 9, 0400, 176.000000 
 9, 0500, 165.000000 
 9, 0600, 305.000000 
 9, 0700, 307.000000 
 9, 0800, 317.000000 
 9, 0900, 287.000000 
 9, 1000, 279.000000 
 9, 1100, 270.000000 
 9, 1200, 255.000000 
 9, 1300, 241.000000 
 9, 1400, 248.000000 
 9, 1500, 257.000000 
 9, 1600, 256.000000 
 9, 1700, 233.000000 
 9, 1800, 90.000000 
 9, 1900, 217.000000 
 9, 2000, 108.000000 
 9, 2100, 219.000000 
 9, 2200, 238.000000 
 9, 2300, 76.000000 
 10, 0000, 153.000000 
 10, 0100, 81.000000 
 10, 0200, 209.000000 
 10, 0300, 259.000000 
 10, 0400, 275.000000 
 10, 0500, 342.000000 
 10, 0600, 348.000000 
 10, 0700, 9.000000 
 10, 0800, 341.000000 
