연도,지역,합계,실외 소계,실외 실외작업장,실외 운동장,실외 논밭,실외 산,실외 강가해변,실외 길가,실외 주거지주변,실외 기타,실내 소계,실내 집,실내 건물,실내 작업장,실내 비닐하우스,실내 기타
2016,서울,170,109,28,9,2,1,1,42,10,16,61,34,8,3,0,16
2016,부산,112,71,31,3,3,2,4,17,3,8,41,19,5,14,0,3
2016,대구,38,29,5,8,4,2,1,5,2,2,9,4,0,2,0,3
2016,인천,102,83,41,6,7,1,1,18,5,4,19,7,1,5,1,5
2017,서울,107,83,22,11,1,4,0,22,12,11,24,8,4,4,0,8
2017,부산,64,44,17,7,3,0,0,8,6,3,20,10,0,9,0,1
2017,대구,28,18,3,1,0,2,0,8,3,1,10,4,1,3,1,1
2017,인천,54,43,18,6,2,1,2,5,3,6,11,2,2,3,0,4
2018,서울,616,362,104,26,10,11,2,132,42,35,254,198,19,11,0,26
2018,부산,208,146,71,8,4,6,4,33,9,11,62,21,3,29,0,9
2018,대구,122,89,20,11,8,1,1,28,15,5,33,27,1,2,1,2
2018,인천,258,159,78,5,12,6,3,31,10,14,99,63,6,21,1,8
2019,서울,116,85,36,16,3,2,0,19,5,4,31,15,5,8,0,3
2019,부산,100,85,47,6,5,2,3,12,3,7,15,3,0,8,0,4
2019,대구,40,29,4,3,5,1,0,10,3,3,11,5,1,3,1,1
2019,인천,69,56,27,4,2,3,2,12,3,3,13,5,1,7,0,0
2020,서울,38,31,16,3,1,2,0,6,2,1,7,4,2,1,0,0
2020,부산,52,40,22,4,0,0,1,10,3,0,12,5,0,6,0,1
2020,대구,26,18,4,1,1,0,0,10,1,1,8,5,1,2,0,0
2020,인천,27,22,12,3,0,1,0,6,0,0,5,1,0,2,1,1
