"시점","행정구역(구군)별(1)",인구수 (명),인구수 (명),인구수 (명),용도지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢)
"시점","행정구역(구군)별(1)",소계,도시지역 인구수,비도시지역 인구수,소계,소계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,미지정,소계,계획관리지역,생산관리지역,보전관리지역,농림지역,자연환경 보전지역,자연환경 보전지역
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,중심,일반,근린,유통,소계,전용,일반,준공업,소계,보전,생산,자연,소계,소계,소계,소계,소계,소계,소계,자연환경 보전지역 지정비율 (%)
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,소계,제1종전용,제2종전용,소계,제1종일반,제2종일반,제3종일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2010","합계",2532077,2488355,43722,884.10,798.50,119.41,1.05,0.80,0.25,104.00,25.54,46.71,31.75,14.36,18.25,6.93,6.27,3.67,1.38,39.82,-,34.31,5.51,621.02,37.98,15.33,567.71,-,85.60,-,0.23,-,37.07,48.30,-
"2011","합계",2529285,2484439,44846,883.68,798.08,119.97,1.05,0.80,0.25,104.36,25.57,46.19,32.60,14.57,18.27,6.93,6.29,3.68,1.37,39.85,-,34.35,5.51,619.98,37.98,15.33,566.67,-,85.60,-,0.23,-,37.07,48.30,56.42
"2011","중구",77319,77319,-,7.05,7.05,3.38,-,-,-,2.95,0.07,1.32,1.56,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.55,-,-,0.55,-,-,-,-,-,-,-,-
"2011","동구",342715,342715,-,182.22,146.92,20.88,0.68,0.65,0.04,15.01,4.00,5.43,5.59,5.19,3.71,1.93,1.01,0.61,0.16,0.81,-,0.57,0.24,121.51,13.02,0.40,108.09,-,35.30,-,-,-,-,35.30,100.00
"2011","서구",224552,224552,-,17.48,17.48,7.68,-,-,-,7.18,0.18,5.64,1.36,0.49,1.29,-,0.68,0.61,-,4.08,-,3.63,0.45,4.44,-,-,4.44,-,-,-,-,-,-,-,-
"2011","남구",169995,169995,-,17.43,17.43,8.10,-,-,-,8.06,2.04,4.98,1.04,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.29,-,-,8.29,-,-,-,-,-,-,-,-
"2011","북구",454135,454135,-,94.08,94.08,18.85,0.13,0.13,-,17.30,3.24,7.68,6.38,1.41,3.62,0.81,1.34,0.30,1.16,3.81,-,2.52,1.29,67.80,0.05,0.10,67.65,-,-,-,-,-,-,-,-
"2011","수성구",462493,462493,-,76.46,76.46,17.67,-,-,-,17.32,6.85,5.15,5.32,0.35,1.74,0.45,0.71,0.59,-,-,-,-,-,57.05,-,0.30,56.75,-,-,-,-,-,-,-,-
"2011","달서구",614437,614437,-,62.34,62.34,20.89,-,-,-,19.61,4.36,7.28,7.98,1.28,2.44,0.97,1.01,0.46,-,11.36,-,10.21,1.14,27.65,0.03,0.11,27.51,-,-,-,-,-,-,-,-
"2011","달성군",183639,138793,44846,426.61,376.30,22.52,0.23,0.02,0.21,16.92,4.83,8.71,3.38,5.37,1.29,-,1.13,0.11,0.05,19.80,-,17.42,2.38,332.69,24.88,14.41,293.40,-,50.30,-,0.23,-,37.07,13.00,25.84
"2012","합계",2527566,2482468,45098,883.63,798.03,120.31,1.05,0.80,0.25,104.42,25.44,45.95,33.03,14.84,18.55,6.93,6.56,3.68,1.37,39.86,-,34.35,5.51,619.32,37.98,15.33,566.00,-,85.60,-,0.23,-,37.07,48.30,56.42
"2012","중구",76142,76142,-,7.05,7.05,3.38,-,-,-,2.94,0.07,1.31,1.56,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
"2012","동구",343644,343644,-,182.16,146.87,20.88,0.68,0.65,0.04,15.01,4.00,5.42,5.59,5.19,3.71,1.93,1.01,0.61,0.16,0.81,-,0.57,0.24,121.47,13.02,0.40,108.04,-,35.30,-,-,-,-,35.30,100.00
"2012","서구",222173,222173,-,17.48,17.48,7.62,-,-,-,7.12,0.18,5.40,1.54,0.49,1.29,0.00,0.68,0.61,-,4.08,-,3.63,0.45,4.49,-,-,4.49,-,-,-,-,-,-,-,-
"2012","남구",169616,169616,-,17.44,17.44,8.10,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.29,-,-,8.29,-,-,-,-,-,-,-,-
"2012","북구",452836,452836,-,94.08,94.08,18.72,0.13,0.13,-,17.17,3.22,7.57,6.38,1.41,3.62,0.81,1.34,0.30,1.16,3.81,-,2.52,1.29,67.93,0.05,0.10,67.78,-,-,-,-,-,-,-,-
"2012","수성구",461157,461157,-,76.47,76.47,18.34,-,-,-,17.60,6.78,5.37,5.45,0.74,1.85,0.45,0.82,0.59,-,-,-,-,-,56.28,-,0.30,55.98,-,-,-,-,-,-,-,-
"2012","달서구",614330,614330,-,62.34,62.34,20.88,0.00,0.00,-,19.60,4.35,7.27,7.98,1.28,2.44,0.97,1.01,0.46,-,11.35,-,10.21,1.14,27.67,0.03,0.11,27.52,-,-,-,-,-,-,-,-
"2012","달성군",187668,142570,45098,426.61,376.30,22.40,0.23,0.02,0.21,16.92,4.83,8.71,3.39,5.25,1.46,-,1.30,0.11,0.05,19.81,-,17.42,2.39,332.64,24.88,14.41,293.34,-,50.30,-,0.23,-,37.07,13.00,25.84
"2013","합계",2524890,2479801,45089,883.48,797.88,120.89,1.00,0.79,0.21,105.03,25.62,46.29,33.12,14.86,18.58,6.93,6.59,3.68,1.37,39.70,-,33.84,5.86,618.71,37.98,15.31,565.43,-,85.60,-,0.23,-,37.07,48.30,56.43
"2013","중구",76963,76963,-,7.06,7.06,3.38,-,-,-,2.94,0.07,1.31,1.56,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
"2013","동구",345347,345347,-,182.16,146.86,20.91,0.64,0.64,-,15.09,4.03,5.46,5.60,5.18,3.71,1.93,1.01,0.61,0.16,0.81,-,0.57,0.24,121.43,13.02,0.40,108.01,-,35.30,-,-,-,-,35.30,100.00
"2013","서구",217550,217550,-,17.35,17.35,7.62,-,-,-,7.12,0.18,5.40,1.54,0.49,1.29,0.00,0.68,0.61,-,4.08,-,3.63,0.45,4.36,-,-,4.36,-,-,-,-,-,-,-,-
"2013","남구",167020,167020,-,17.44,17.44,8.10,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.29,-,-,8.29,-,-,-,-,-,-,-,-
"2013","북구",448841,448841,-,94.08,94.08,19.23,0.13,0.13,-,17.66,3.27,7.83,6.56,1.44,3.68,0.81,1.40,0.30,1.16,3.81,-,2.52,1.29,67.36,0.05,0.10,67.21,-,-,-,-,-,-,-,-
"2013","수성구",462471,462471,-,76.46,76.46,18.36,-,-,-,17.62,6.78,5.39,5.45,0.74,1.85,0.45,0.82,0.59,-,-,-,-,-,56.25,-,0.29,55.97,-,-,-,-,-,-,-,-
